Power Consumed,StdNormalQuantiles,Confidence_Interval_L,Confidence_Interval_U
8.35E-07,3.587915,2.956257,5.106991
8.55E-07,3.290527,2.857198,3.969788
8.62E-07,3.14398,2.786218,3.635799
8.64E-07,3.044157,2.72994,3.448627
8.65E-07,2.967738,2.682894,3.319914
8.65E-07,2.9055,2.642249,3.222118
8.66E-07,2.852819,2.606333,3.143322
8.66E-07,2.807034,2.574072,3.077342
8.68E-07,2.766471,2.544728,3.020574
8.71E-07,2.730005,2.51777,2.970739
8.73E-07,2.696844,2.492805,2.926307
8.73E-07,2.666408,2.469534,2.886203
8.74E-07,2.638257,2.44772,2.849642
8.75E-07,2.612054,2.427173,2.816036
8.75E-07,2.58753,2.407742,2.784931
8.76E-07,2.564471,2.389299,2.75597
8.76E-07,2.542699,2.371739,2.728867
8.78E-07,2.522069,2.354973,2.703392
8.78E-07,2.502461,2.338926,2.679352
8.80E-07,2.483769,2.323532,2.656589
8.80E-07,2.465907,2.308735,2.634968
8.81E-07,2.448799,2.294485,2.614376
8.82E-07,2.432379,2.28074,2.594715
8.82E-07,2.41659,2.26746,2.5759
8.92E-07,2.401381,2.254613,2.557859
8.94E-07,2.386708,2.242167,2.540527
8.94E-07,2.372531,2.230097,2.523847
8.95E-07,2.358816,2.218376,2.507771
8.95E-07,2.345531,2.206985,2.492253
8.95E-07,2.332647,2.195902,2.477253
8.95E-07,2.320139,2.185109,2.462737
8.96E-07,2.307984,2.174591,2.448673
8.96E-07,2.296161,2.164331,2.43503
8.96E-07,2.28465,2.154316,2.421784
8.97E-07,2.273435,2.144534,2.408911
8.97E-07,2.262498,2.134971,2.396388
8.97E-07,2.251825,2.125619,2.384196
8.98E-07,2.241403,2.116465,2.372317
8.98E-07,2.231218,2.107503,2.360733
8.99E-07,2.22126,2.098721,2.349431
8.99E-07,2.211518,2.090113,2.338394
9.03E-07,2.201981,2.081671,2.327611
9.03E-07,2.19264,2.073388,2.317069
9.05E-07,2.183487,2.065257,2.306757
9.05E-07,2.174513,2.057272,2.296664
9.05E-07,2.16571,2.049427,2.28678
9.05E-07,2.157073,2.041717,2.277096
9.05E-07,2.148593,2.034137,2.267604
9.07E-07,2.140265,2.026682,2.258295
9.07E-07,2.132083,2.019346,2.249163
9.07E-07,2.124042,2.012127,2.240199
9.07E-07,2.116135,2.00502,2.231398
9.08E-07,2.108358,1.998021,2.222753
9.08E-07,2.100707,1.991126,2.214257
9.08E-07,2.093177,1.984332,2.205907
9.08E-07,2.085764,1.977636,2.197696
9.08E-07,2.078464,1.971034,2.189619
9.08E-07,2.071273,1.964524,2.181671
9.08E-07,2.064187,1.958102,2.173849
9.08E-07,2.057203,1.951767,2.166148
9.08E-07,2.050319,1.945514,2.158563
9.09E-07,2.04353,1.939343,2.151092
9.09E-07,2.036834,1.93325,2.14373
9.09E-07,2.030228,1.927233,2.136474
9.09E-07,2.02371,1.921291,2.129321
9.09E-07,2.017276,1.915421,2.122267
9.09E-07,2.010925,1.90962,2.11531
9.09E-07,2.004654,1.903888,2.108447
9.09E-07,1.998461,1.898223,2.101674
9.10E-07,1.992344,1.892622,2.09499
9.10E-07,1.9863,1.887084,2.088392
9.11E-07,1.980328,1.881608,2.081877
9.11E-07,1.974426,1.876191,2.075443
9.11E-07,1.968592,1.870833,2.069088
9.12E-07,1.962824,1.865532,2.06281
9.12E-07,1.95712,1.860286,2.056606
9.12E-07,1.95148,1.855095,2.050476
9.12E-07,1.945901,1.849957,2.044416
9.12E-07,1.940382,1.84487,2.038426
9.13E-07,1.934921,1.839834,2.032503
9.13E-07,1.929517,1.834847,2.026645
9.13E-07,1.92417,1.829909,2.020852
9.14E-07,1.918876,1.825018,2.015122
9.14E-07,1.913636,1.820173,2.009452
9.14E-07,1.908448,1.815373,2.003843
9.14E-07,1.903311,1.810618,1.998291
9.14E-07,1.898223,1.805906,1.992797
9.15E-07,1.893185,1.801236,1.987358
9.15E-07,1.888193,1.796608,1.981974
9.15E-07,1.883249,1.792021,1.976643
9.15E-07,1.87835,1.787473,1.971364
9.15E-07,1.873495,1.782965,1.966136
9.15E-07,1.868685,1.778495,1.960957
9.16E-07,1.863917,1.774062,1.955828
9.16E-07,1.859191,1.769666,1.950746
9.16E-07,1.854507,1.765307,1.945711
9.16E-07,1.849863,1.760982,1.940722
9.16E-07,1.845258,1.756693,1.935778
9.17E-07,1.840692,1.752438,1.930877
9.18E-07,1.836164,1.748216,1.92602
9.18E-07,1.831674,1.744027,1.921205
9.18E-07,1.82722,1.73987,1.916432
9.18E-07,1.822802,1.735745,1.911699
9.18E-07,1.81842,1.731652,1.907006
9.18E-07,1.814072,1.727589,1.902352
9.18E-07,1.809758,1.723556,1.897737
9.19E-07,1.805477,1.719552,1.893159
9.19E-07,1.80123,1.715578,1.888618
9.19E-07,1.797014,1.711632,1.884114
9.19E-07,1.792831,1.707714,1.879645
9.19E-07,1.788678,1.703824,1.875211
9.19E-07,1.784556,1.699961,1.870812
9.19E-07,1.780464,1.696125,1.866446
9.19E-07,1.776402,1.692315,1.862114
9.20E-07,1.772369,1.688531,1.857814
9.20E-07,1.768364,1.684773,1.853547
9.20E-07,1.764388,1.681039,1.849311
9.20E-07,1.760439,1.677331,1.845106
9.20E-07,1.756518,1.673646,1.840931
9.20E-07,1.752623,1.669985,1.836787
9.20E-07,1.748755,1.666349,1.832672
9.20E-07,1.744913,1.662735,1.828586
9.20E-07,1.741096,1.659144,1.824529
9.21E-07,1.737305,1.655576,1.8205
9.21E-07,1.733539,1.652029,1.816498
9.21E-07,1.729796,1.648505,1.812524
9.21E-07,1.726078,1.645002,1.808576
9.22E-07,1.722384,1.641521,1.804655
9.22E-07,1.718713,1.63806,1.80076
9.22E-07,1.715065,1.63462,1.796891
9.22E-07,1.71144,1.631201,1.793047
9.22E-07,1.707837,1.627801,1.789228
9.22E-07,1.704256,1.624421,1.785433
9.22E-07,1.700696,1.621061,1.781662
9.23E-07,1.697159,1.61772,1.777915
9.23E-07,1.693642,1.614398,1.774192
9.23E-07,1.690146,1.611095,1.770491
9.24E-07,1.686671,1.60781,1.766814
9.24E-07,1.683216,1.604543,1.763159
9.24E-07,1.679781,1.601295,1.759526
9.25E-07,1.676365,1.598064,1.755915
9.25E-07,1.672969,1.59485,1.752325
9.25E-07,1.669593,1.591655,1.748757
9.25E-07,1.666235,1.588476,1.745209
9.25E-07,1.662896,1.585314,1.741682
9.25E-07,1.659575,1.582168,1.738176
9.25E-07,1.656272,1.579039,1.73469
