Voltage (V),Frequency (MHz),Temperature (°C),Capacitance (F),Leakage Current (A),Switching Activity,Circuit Area (mm²),Power 
0.891197604,202.5476389,57.04071189,9.16E-13,3.28E-06,0.483610348,7.918806121,0.002925894
0.854380535,262.1281256,36.31048994,8.74E-13,4.97E-06,0.782251203,7.59768024,0.004244049
0.952254639,598.1177592,77.65044075,7.82E-13,4.07E-06,0.108387428,11.15325984,0.003875456
1.118274701,224.3364391,59.25168612,6.82E-13,3.42E-06,0.585443329,6.267511833,0.003820019
1.128467157,911.4172582,27.91619763,6.39E-13,4.50E-06,0.612103224,7.723481402,0.005074736
0.827418276,908.8392007,85.93741154,1.40E-12,3.72E-06,0.709536207,2.503407746,0.003080097
0.998460777,213.9788858,29.91236642,7.03E-13,2.27E-06,0.311140296,9.525914498,0.002265477
0.962632597,492.2253989,97.06341188,1.27E-12,2.73E-06,0.383334148,0.714524216,0.002623506
0.921892656,656.3943142,69.3337779,1.46E-12,3.39E-07,0.678370527,8.723319302,0.000312938
1.07966467,874.422357,57.68607406,1.49E-12,8.75E-07,0.815271316,12.58192648,0.000946291
1.098376721,740.3302295,93.16853784,5.55E-13,1.00E-06,0.127926007,4.802041909,0.001103659
0.967894971,175.1983706,55.47294306,7.08E-13,2.76E-06,0.497506598,7.954926249,0.002669231
0.893710784,557.8942333,42.97313055,1.46E-12,3.38E-06,0.684370594,3.249287753,0.00301995
0.833271255,208.6998149,32.08479936,1.02E-12,3.76E-06,0.59917211,13.20138948,0.003135328
0.884844228,263.3289589,80.08181971,1.35E-12,1.49E-06,0.722605367,11.71561067,0.001321237
1.194101758,235.4358019,35.43613256,7.83E-13,1.84E-06,0.106918937,14.52438945,0.002192021
1.07947521,330.0899642,55.49809911,1.02E-12,1.92E-06,0.828622468,6.004117658,0.002070431
0.929906943,306.7089777,98.81865239,5.28E-13,3.09E-06,0.188127295,2.327078132,0.002872369
0.808004137,104.729395,27.22857374,5.43E-13,2.05E-06,0.275027997,5.428312333,0.001656451
1.109248517,672.0832812,50.97132996,8.76E-13,3.06E-06,0.653246082,14.39172316,0.003398551
1.149956249,559.8616138,23.12517059,1.02E-12,2.51E-07,0.158817352,0.767539048,0.000288913
1.075015433,145.9125717,58.32158399,1.37E-12,4.57E-06,0.607110117,4.097711986,0.004910393
