Voltage (V),Frequency (MHz),Temperature (°C),Capacitance (F),Leakage Current (A),Switching Activity,Circuit Area (mm²),Power Consumption
0.809986415,927.1628394,83.90764702,6.41E-13,1.02E-07,0.288106007,4.860202847,8.25E-08
0.837081411,860.0404906,78.66488529,5.12E-13,1.02E-07,0.213365996,3.106421701,8.54E-08
0.829481126,762.7886076,79.40567461,6.32E-13,1.07E-07,0.380056186,13.96659097,8.88E-08
0.903487689,984.5706456,49.59337317,1.12E-12,1.00E-07,0.663849166,0.796964817,9.09E-08
0.866533537,932.4782144,90.62030304,5.43E-13,1.07E-07,0.667638078,2.191249282,9.31E-08
0.922387387,788.174434,52.86776415,1.15E-12,1.00E-07,0.693830029,10.72456039,9.31E-08
0.935368934,798.6570495,58.38004927,1.16E-12,1.06E-07,0.234530723,13.67141438,9.95E-08
0.9610762,274.9087209,37.36066048,9.89E-13,1.03E-07,0.586473626,2.7108149,9.95E-08
0.859294709,601.2453745,99.15241777,1.14E-12,1.19E-07,0.16907726,13.30544129,1.02E-07
0.875024986,790.5105088,35.20394605,1.29E-12,1.18E-07,0.275115453,8.12610025,1.03E-07
1.019605347,384.0388409,66.39116379,6.58E-13,1.01E-07,0.755103851,0.783507956,1.03E-07
0.968313597,236.6785661,53.70879234,1.11E-12,1.09E-07,0.431680161,9.773019208,1.06E-07
0.857781438,698.0569772,86.33127166,8.50E-13,1.23E-07,0.105951905,3.012628228,1.06E-07
1.07021367,976.6667283,84.86566835,1.01E-12,1.00E-07,0.172084538,9.680156808,1.07E-07
1.000169613,268.2486287,25.27501999,9.70E-13,1.13E-07,0.41438734,3.640583397,1.13E-07
0.926565073,579.4165576,89.28105963,1.46E-12,1.23E-07,0.373258663,12.91661911,1.14E-07
1.129834591,588.6298348,70.81634181,1.32E-12,1.00E-07,0.641332125,7.613003114,1.14E-07
0.816184885,856.2445842,55.99535829,1.38E-12,1.40E-07,0.447662435,12.11923943,1.14E-07
0.93702112,721.2568003,42.64373843,7.18E-13,1.23E-07,0.648538936,14.02443404,1.16E-07
1.160096395,680.7324951,73.04812388,1.18E-12,1.00E-07,0.808805948,9.36317992,1.17E-07
0.915654047,343.5174881,78.23820427,9.70E-13,1.31E-07,0.475310472,8.16128401,1.20E-07
0.963595359,313.8890129,59.81970477,7.51E-13,1.24E-07,0.339595274,13.76796752,1.20E-07
1.037250592,269.6167482,73.29038817,1.12E-12,1.16E-07,0.896971023,13.61295485,1.21E-07
0.967538895,226.2995398,25.53434278,1.19E-12,1.25E-07,0.859256209,9.075424645,1.21E-07
1.063711171,182.9362205,78.88666855,1.14E-12,1.14E-07,0.740903051,11.27273038,1.22E-07
1.013442727,122.2501538,35.85117168,8.10E-13,1.21E-07,0.580721508,4.291264311,1.22E-07
0.936109978,624.2550702,99.14964512,7.42E-13,1.31E-07,0.368603992,12.19273195,1.23E-07
0.923360368,721.0833306,96.35465355,1.06E-12,1.33E-07,0.75940348,11.21205612,1.23E-07
1.083217786,158.2362752,88.47665848,9.69E-13,1.15E-07,0.673575978,8.024887319,1.24E-07
1.001031788,709.0200672,29.16270521,8.68E-13,1.24E-07,0.635556015,3.394004784,1.25E-07
1.007752436,383.3018919,44.16912398,6.09E-13,1.24E-07,0.197305738,3.445408426,1.25E-07
0.885416631,813.6434843,72.58397987,5.58E-13,1.43E-07,0.338476102,4.907644932,1.27E-07
1.048452952,579.3030932,23.24993916,7.23E-13,1.21E-07,0.792525114,10.2816002,1.27E-07
0.921668382,459.2002753,53.90277342,9.45E-13,1.38E-07,0.40768992,13.95164284,1.28E-07
1.102515708,904.9544828,21.0944381,6.01E-13,1.16E-07,0.421710955,0.681608557,1.28E-07
0.974703148,447.862258,77.47995097,8.84E-13,1.32E-07,0.562337694,4.501842291,1.29E-07
1.112361874,397.0751093,97.0816511,6.87E-13,1.17E-07,0.388377023,11.18371777,1.30E-07
0.971030751,177.8172143,32.9803069,8.40E-13,1.39E-07,0.155933826,12.51226387,1.35E-07
1.142319348,119.5102414,63.70018177,1.31E-12,1.20E-07,0.704002054,7.382651837,1.37E-07
0.854071881,881.5382158,29.83496199,5.24E-13,1.63E-07,0.375286428,4.730227647,1.39E-07
1.081090717,882.3674229,38.11884244,8.03E-13,1.28E-07,0.797746491,4.295549512,1.39E-07
1.106089636,120.0335009,59.45699986,5.16E-13,1.27E-07,0.27835066,9.120427022,1.41E-07
0.900106671,121.8843478,99.45886014,1.10E-12,1.59E-07,0.793839253,9.066614323,1.43E-07
0.828006727,102.3949327,71.62582314,7.33E-13,1.77E-07,0.718502766,1.938855851,1.46E-07
1.017746837,604.3634555,52.57691913,1.14E-12,1.45E-07,0.201292167,6.359689864,1.48E-07
0.845827819,247.5896048,54.20766301,1.41E-12,1.79E-07,0.495010209,12.89742314,1.51E-07
1.172645691,374.1086942,97.38176675,5.61E-13,1.36E-07,0.25694999,14.30221468,1.59E-07
1.103586129,545.8371377,78.07955106,5.03E-13,1.45E-07,0.897093685,3.705858404,1.60E-07
1.017918619,101.1193079,54.69634065,1.31E-12,1.59E-07,0.857929027,8.86032263,1.62E-07
0.993277222,762.0811181,20.03407704,7.05E-13,1.63E-07,0.696180818,6.700146112,1.62E-07
0.911009632,867.7657062,75.0085704,1.26E-12,1.86E-07,0.709678228,7.080960812,1.70E-07
1.031694252,924.2527904,85.54421628,7.67E-13,1.66E-07,0.447155662,4.930804928,1.71E-07
0.800121641,699.14885,47.83552271,9.97E-13,2.22E-07,0.161693023,6.217016206,1.78E-07
1.02062702,643.2308338,26.75585312,7.95E-13,1.75E-07,0.702475487,4.92177972,1.79E-07
0.985802987,251.6072728,27.38415522,7.21E-13,1.85E-07,0.478968247,11.28067055,1.82E-07
0.859296288,411.6308329,22.87236257,9.89E-13,2.13E-07,0.746499685,3.070798133,1.83E-07
0.967159028,827.5125982,21.17228383,6.09E-13,1.89E-07,0.351413062,0.870565544,1.83E-07
0.886848496,362.5793262,50.25044488,1.30E-12,2.09E-07,0.51775067,3.190255644,1.85E-07
0.846039936,328.231552,76.86959368,1.05E-12,2.21E-07,0.439904258,2.824184895,1.87E-07
0.87989505,102.7794751,77.74373621,1.19E-12,2.13E-07,0.132815793,12.18710176,1.88E-07
0.974858683,690.0374623,62.50293732,6.07E-13,1.98E-07,0.239560264,4.977001773,1.93E-07
1.033175344,857.6620015,36.57786883,1.34E-12,1.86E-07,0.853455184,14.03723112,1.94E-07
0.829755444,920.178466,66.814975,7.00E-13,2.35E-07,0.259783133,14.53358401,1.95E-07
1.080217824,203.5915056,76.20695647,1.29E-12,1.83E-07,0.127920163,4.722474701,1.98E-07
0.842970866,848.7149194,66.44990612,6.72E-13,2.35E-07,0.501549435,11.1452114,1.98E-07
1.065895757,873.3232417,98.28677136,1.45E-12,1.90E-07,0.289641812,6.554613756,2.03E-07
1.075935376,180.3150212,92.44508183,1.37E-12,1.90E-07,0.306075196,10.2835209,2.04E-07
1.104292181,287.2865361,46.28249024,8.15E-13,1.85E-07,0.469181196,7.998850504,2.05E-07
1.01896286,551.3992005,82.80787889,8.04E-13,2.01E-07,0.403562903,11.67017362,2.05E-07
0.930887246,338.5814232,25.8092343,6.05E-13,2.21E-07,0.513248176,2.884257887,2.06E-07
0.855980112,236.8292441,91.97004679,1.33E-12,2.40E-07,0.106626266,1.291121029,2.06E-07
1.057298885,720.1570968,44.31731045,5.64E-13,1.95E-07,0.85227781,4.206980492,2.06E-07
0.83343356,565.2724818,56.44118985,5.88E-13,2.49E-07,0.623737579,2.520975529,2.07E-07
0.852149979,511.5318143,98.5043142,5.26E-13,2.44E-07,0.255871155,13.00239629,2.08E-07
0.996249905,759.5054299,36.56978108,9.84E-13,2.09E-07,0.460953511,11.58853906,2.09E-07
0.830650711,361.4072954,43.05687571,5.56E-13,2.57E-07,0.319730164,11.66249447,2.13E-07
1.153455105,805.4197173,23.56541516,1.07E-12,1.86E-07,0.330044952,14.24943807,2.15E-07
